,user_id,sec_uid,username,nickname,avatar,signature,bio_link,follower_count,following_count,heart_count,video_count,digg_count,verified,private_account,seller_account,region
90,6860189105465132038,MS4wLjABAAAA9NHTNaXlxXh1yut6xyXpB4hXSg5GWLT00kI_M1u_tLqyN6kHTGr-f7aO8VdiS0pQ,anjum.chaudhary,Anjum Chaudhry,https://p16-sign-sg.tiktokcdn.com/aweme/1080x1080/tos-alisg-avt-0068/454ab73116fe85e81254a686c99d8031.jpeg?x-expires=1684440000&x-signature=Wtq3nW%2Bqk1VcH2JEkBW2e%2BSsE1o%3D,"اگر لکھنے کا ہنر نہ ہوتا تو سوچو انجم 
 کتنے لوگ چپ کی اذیت میں مر جاتے",,1951,1081,33600,2001,0,False,False,False,PK
91,7227287559646659630,MS4wLjABAAAAorpdjG9A6UHiJYLtGbtWClff_z_8s0p_Gg3m7WthOAyAYIzH4ELlx3W2UuKMrhC7,gabriellopez5850,ggb,https://p19-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7227288148530135083~c5_1080x1080.jpeg?x-expires=1684440000&x-signature=JAqQp7QaE%2B08b4iLG7GA9eOlwzs%3D,,,3,93,12,4,0,False,False,False,US
92,6904288305602216965,MS4wLjABAAAAmcWaiUK8HgUh6Z3SFM7VN8pDImfMCpZlwNSYCFM-zUhisj5APwVlFE7lkSVyAq09,iskandarakbarov4,iskandar.akbarov,https://p16-sign-sg.tiktokcdn.com/aweme/1080x1080/tos-alisg-avt-0068/69160c70d9204dfed803f3df21461423.jpeg?x-expires=1684440000&x-signature=0SC9LF20iLWrNynhNvrTTYtZGcg%3D,,,120,988,66,2,0,False,False,False,UZ
93,7173327880133968902,MS4wLjABAAAAGdBa8rPl6PCm22mcXKXgwfrl2yxa9hZOJ1ViXd8au37PttD5WxwTferdfNBoYSyF,neymarjrronaldinho1,🇧🇷IloveBraziandFrance🇨🇵⚽,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/653319a52243db25f20654355c9444b6~c5_1080x1080.jpeg?x-expires=1684440000&x-signature=WavmdSEZC8aWV%2F1jDTsMJUFWiOY%3D,,,180,241,1224,169,0,False,False,False,ZA
94,6692963315969246213,MS4wLjABAAAA4F8PER7fmnAWgUf7VR9z7sxaIgQuqA3fC42Fu7FhZPf3NKRkUJyh5YVQvQc7NVp0,haxan_nawaz_official,🥷Haxan⚔️Nawaz🥷,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ab50314ac93f9973f913272da0ab84f~c5_1080x1080.jpeg?x-expires=1684440000&x-signature=ZJQRNFKb%2BErG0AH4CDGS5v6%2FXMc%3D,"#GeneralsecretaryISFBhera ♥️😎
ہر ایک کو آپکی ضرورت ہے اپنی ضرورت تک🥀🌚",Q&A,3716,2137,86200,1187,0,False,False,False,PK
95,7233483774448452654,MS4wLjABAAAAMWqmumi810HoKHtuCf8pIssRJ_VbIaRiLxNKH4A-4r5K3YMK2P1Iz97ZyzwaOPO8,hainobashal,MCGREGOR,https://p16-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7233484747236704298~c5_1080x1080.jpeg?x-expires=1684440000&x-signature=l2hZ3OhoDJvrp55nJlCyTyBuJ%2FY%3D,,,4,159,0,0,0,False,False,False,US
96,6992532200986100742,MS4wLjABAAAAJzCyFJ21lMzkuGb6D5PpPEN9yGUc7TFBLH3ZCR-AbJA2eAtuJ8dwTRn4jLHUlWD1,turk_zaza_2323,🇹🇷🇹🇷,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/833f142475be3998e522339ffbba2529~c5_1080x1080.jpeg?x-expires=1684440000&x-signature=Q1Rhm%2FhJj4FcX2iycgQkuY4lPec%3D,foedball vid,,30,606,8,2,0,False,False,False,NL
97,7179410493504668677,MS4wLjABAAAA9dRkx5yN6E3zC_WgWShShodhZ26jsY_tQHTz-PIyG11McgtJo8A3Zcj5XTEDbCaf,tiffanyaylinpinch,Kenercito,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1ba94a9a8b700db5101bda164d6b73c3~c5_1080x1080.jpeg?x-expires=1684440000&x-signature=iO2uavGs4qY5nK%2BE9sOoeWwtYrg%3D,,,14,530,42,1,0,False,False,False,PE
98,6758734412122768390,MS4wLjABAAAATlkJk0987TxrxBE6XpNGEtZzd6_D3W9K-DkdVxEVkgVv1Akarf6boSqH57USF7Au,mihayayanmarya,Mihay Ayan Marya,https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/8fc0a7a128490636b31e2c2900d47a74~c5_1080x1080.jpeg?x-expires=1684440000&x-signature=52WY2YjOBl1G1Jfi68E7v2%2B9Tm4%3D,,,685,6295,862,30,0,False,False,False,AT
99,7231040793120441390,MS4wLjABAAAAYOwmYa1mGOO0wYbjJLcF5S_E4q-81vkPLY7wgNpHjOfrg_eo9RLENkF5TVzaJw6Z,ayye_chriss19,Ayyee_chriss19,https://p19-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7231042206822793259~c5_1080x1080.jpeg?x-expires=1684440000&x-signature=5Ytv7l44GI%2FABbppeapm8sAYPMw%3D,,,11,83,0,0,0,False,False,False,US
